Simple site,Unnamed: 0,Avg. Flood Depth when Flooded (ft),90th Percentile Flood Depth when Flooded (ft),10th Percentile Flood Depth when Flooded (ft),Std. Deviation Flood Depth when Flooded 
CRMS0002,0.0,0.442804778787374,1.1040000000022674,0.0,0.5068058207110924
CRMS0003,1.0,0.1404919237552999,0.5310000000012669,0.0,0.3330835286899626
CRMS0006,2.0,0.3348355114370621,0.8980000000008435,0.0,0.4456837818646937
CRMS0008,3.0,0.7298778719599215,1.2699999999985294,0.2700000000000105,0.514597344757496
CRMS0030,4.0,0.271160136822918,0.8500000000018602,0.0,0.4461330320263802
CRMS0033,5.0,0.4016050890210165,1.0240000000018363,0.0,0.4850722819172585
CRMS0034,6.0,0.3537077608980347,0.9980000000031805,0.0,0.4938890247270769
CRMS0035,7.0,0.2617629966755769,0.8790000000007516,0.0,0.5206078716133276
CRMS0038,8.0,0.661844839950461,1.4700000000010325,0.0,0.6521952362952529
CRMS0039,9.0,1.1565550909571545,1.6680000000032689,0.480000000001243,0.5415087649250578
CRMS0046,10.0,0.3131761438107731,0.960300000002505,0.0,0.5391180601856417
CRMS0047,11.0,0.346617729617842,0.990000000002174,0.0,0.4988815744068989
CRMS0056,12.0,0.6080703224454913,1.0099999999978484,0.2700000000003005,0.4209590808583118
CRMS0058,13.0,0.5859882976649802,0.9535999999972986,0.0519999999999058,0.4214683952892098
CRMS0059,14.0,0.6486730796662128,1.2489999999996515,0.0300000000000638,0.5252053374917454
CRMS0061,15.0,0.446044290025411,1.1799999999962143,0.0,0.576138479095442
CRMS0063,16.0,0.7132013548289505,1.375,0.0,0.5819503057340563
CRMS0065,17.0,0.887291873303842,1.4670000000020016,0.1100000000001047,0.5667405318166927
CRMS0086,18.0,0.4843737908432599,1.3699999999974384,0.0,0.7784057039525285
CRMS0089,19.0,1.1748682501670156,1.75,0.5599999999989456,0.5332107817517184
CRMS0090,20.0,1.2410982613357642,1.7200000000010582,0.7970000000015873,0.4493179042833147
CRMS0097,21.0,0.4694296978865834,1.1929999999993464,0.0,0.5550209171580386
CRMS0103,22.0,0.372506702947147,1.0449999999990336,0.0,0.5531013095407693
CRMS0108,23.0,0.2040269905852288,0.7069999999991817,0.0,0.3985534898069153
CRMS0114,24.0,0.1943953510911506,0.679999999998661,0.0,0.3938865235304398
CRMS0115,25.0,0.0973378625921326,0.3570000000000114,0.0,0.279150199497082
CRMS0117,26.0,0.222257023607663,0.75,0.0,0.4266830159317268
CRMS0118,27.0,0.41041750101019,1.1919999999983937,0.0,0.5496426815386319
CRMS0119,28.0,0.1274346442434416,0.470000000000711,0.0,0.3443907276190734
CRMS0120,29.0,0.0814479823917833,0.2199999999997237,0.0,0.2856592377502445
CRMS0121,30.0,0.385492512032578,1.0829999999989257,0.0,0.526684718575604
CRMS0125,31.0,0.2978856635023933,0.8249999999981736,0.0,0.4838618983867944
CRMS0128,32.0,0.1926711318757574,0.6299999999992489,0.0,0.358310967876854
CRMS0129,33.0,0.2395217092516842,0.7899999999985168,0.0,0.446686077834392
CRMS0131,34.0,0.1111577618143669,0.3819999999997842,0.0,0.3264756081843644
CRMS0132,35.0,0.2188899323115211,0.7069999999991246,0.0,0.4339846466613751
CRMS0135,36.0,0.1858167069851853,0.6399999999994881,0.0,0.353281463545396
CRMS0136,37.0,0.1237598444406189,0.4400000000007787,0.0,0.352344612709804
CRMS0139,19.0,0.6201876190803094,1.3850000000000287,0.0,0.5809750136328671
CRMS0146,1.0,0.2822427278927046,0.839999999997794,0.0,0.4548703772523766
CRMS0147,2.0,0.2686326421580772,0.8730000000026557,0.0,0.4520135155816158
CRMS0148,3.0,0.23451486665908,0.8950000000010272,0.0,0.4700030246549512
CRMS0153,4.0,1.673838182684105,2.600000000003909,0.7439999999993102,0.7139492888326586
CRMS0154,5.0,0.5254452777667318,1.2010000000007832,0.0,0.4948546277591887
CRMS0156,6.0,0.4406331144119287,1.0650000000016282,0.0,0.4539494769649892
CRMS0157,7.0,0.9765957711246916,1.7570000000042092,0.2200000000003147,0.5802874565576223
CRMS0159,8.0,0.5974642637370543,1.3169999999994144,0.0,0.5151336196218609
CRMS0161,9.0,1.0323513342707764,1.8399999999970176,0.1899999999996959,0.6280968937107593
CRMS0162,10.0,1.125936462093862,1.972100000000817,0.2799999999999702,0.6434870163264524
CRMS0163,11.0,0.3338202274547966,0.9180000000018204,0.0,0.4019582936689029
CRMS0164,12.0,0.3131467958662143,0.8739999999992287,0.0,0.39983847925757
CRMS0171,13.0,0.2833043357313444,0.8479999999989524,0.0,0.3902315531662322
CRMS0172,14.0,0.4152453954496211,1.0709999999988231,0.0,0.4643901051531677
CRMS0173,15.0,0.3610218025510172,0.9809999999997776,0.0,0.4472251833068448
CRMS0174,16.0,0.3755297111176849,1.0099999999978964,0.0,0.4468870672732694
CRMS0175,17.0,0.361664471955998,0.967999999997593,0.0,0.4467324556298896
CRMS0176,18.0,0.2416933208943446,0.7839999999996685,0.0,0.3699762175071795
CRMS0178,19.0,0.1687338978088693,0.5495000000000845,0.0,0.5488781357417926
CRMS0179,20.0,0.2942646646263752,0.8859999999988546,0.0,0.4132465455022462
CRMS0181,21.0,0.2690446313119958,0.832999999998961,0.0,0.3897190340351691
CRMS0184,22.0,1.0254275299954465,1.3399999999987522,0.6800000000002357,0.3188349477641445
CRMS0185,23.0,1.1419529457594728,1.9530000000009784,0.0846000000000936,0.6754372196501147
CRMS0188,24.0,0.3633980854081281,0.8399999999979009,0.0,0.3495542558512899
CRMS0189,25.0,0.1390815236000372,0.410000000000485,0.0,0.2135618641816269
CRMS0190,26.0,0.1424438923030214,0.4649999999990123,0.0,0.2501200728945543
CRMS0192,27.0,0.2188329586268111,0.5699999999997333,0.0,0.271150295717041
CRMS0194,28.0,0.4023902480420954,0.9290000000006132,0.0,0.4120898490310429
CRMS0197,29.0,0.3886513187587574,1.0530000000000956,0.0,0.4559636577031289
CRMS0200,30.0,0.5603406882898019,1.1879999999972477,0.0,0.5121670175572227
CRMS0206,31.0,0.7320237788237296,1.3660000000006238,0.0,0.5114025565435631
CRMS0209,32.0,0.2202653142039063,0.7274999999985108,0.0,0.3432816369312253
CRMS0211,33.0,0.061660567526877,0.2200000000001286,0.0,0.1696473255029232
CRMS0217,34.0,0.7402244306085614,1.6350000000018428,0.0,0.6428536973353963
CRMS0218,35.0,1.752336154170382,2.535999999999454,1.0019999999969018,0.6026086880206224
CRMS0219,36.0,0.4702683799890557,0.8380000000020271,0.1000000000001955,0.2961037830675225
CRMS0220,37.0,0.2271319060134053,0.6999999999982313,0.0,0.3525729829070927
CRMS0224,19.0,0.26153582158511135,0.7700000000009198,0.0,0.3961709610954986
CRMS0225,1.0,0.3320056107662131,0.8699999999988705,0.0,0.3979471849597403
CRMS0226,2.0,0.1268813178866818,0.4619999999996255,0.0,0.2738277215426593
CRMS0232,3.0,0.2539113418472042,0.75,0.0,0.36223893490435
CRMS0234,4.0,1.686326973384223,1.988000000004816,1.339999999997217,0.2860216058356409
CRMS0237,5.0,0.2069477384874911,0.6799999999985253,0.0,0.3439408175034697
CRMS0241,6.0,1.276320576467602,1.7949999999988084,0.8000000000010337,0.4051294716012009
CRMS0248,7.0,0.1834065751211635,0.5860000000007056,0.0,0.3002725636003109
CRMS0251,8.0,0.3673504713837538,0.926000000002942,0.0,0.4236761623885401
CRMS0253,9.0,0.171117004899567,0.5599999999989276,0.0,0.3100165709322188
CRMS0258,10.0,0.3010148149321832,0.8059999999979734,0.0,0.3753868799758793
CRMS0260,11.0,0.2311814312549063,0.6879999999991068,0.0,0.348107627995332
CRMS0261,12.0,0.2739493980026765,0.7590000000008905,0.0,0.3667962669985928
CRMS0263,13.0,0.2568144484973156,0.7440000000013083,0.0,0.3695175820995391
CRMS0268,14.0,0.1362958998649363,0.5299999999992505,0.0,0.2691705982243569
CRMS0272,15.0,0.448032727942473,1.1359999999988002,0.0,0.4872546737097085
CRMS0273,16.0,0.3253056901465806,0.7300000000009382,0.0,0.3025226100463509
CRMS0276,17.0,0.2512416788731377,0.7110000000004048,0.0,0.3525788898744106
CRMS0278,18.0,0.2202183241957641,0.6460000000005462,0.0,0.3063839016870188
CRMS0282,19.0,0.2391161366115637,0.7300000000000578,0.0,0.368116103277465
CRMS0287,20.0,0.235360016009606,0.5939999999991348,0.0,0.2684222175815548
CRMS0290,21.0,0.4470045470479273,0.9900000000013238,0.0,0.382170162192767
CRMS0292,22.0,0.1961091307578029,0.6649999999988415,0.0,0.3310501572460096
CRMS0293,23.0,0.0950637875246549,0.358000000000166,0.0,0.2280580079888608
CRMS0294,24.0,0.2026841328057159,0.5899999999984515,0.0,0.2459733596054188
CRMS0296,25.0,0.2647607560595995,0.679999999999233,0.0,0.3124044677930916
CRMS0301,26.0,0.243359851014935,0.6399999999995231,0.0,0.3072788463041225
CRMS0302,27.0,0.266351804658331,0.8369999999995839,0.0,0.3922696761870011
CRMS0303,28.0,0.1432081208443638,0.5179999999980415,0.0,0.3160066831702048
CRMS0305,29.0,0.101180105363286,0.4000000000009421,0.0,0.251867450453358
CRMS0307,30.0,0.311678198155063,0.8640000000011548,0.0,0.3924622803388318
CRMS0309,31.0,0.1342929812561858,0.4990000000013799,0.0,0.2629581837828058
CRMS0310,32.0,0.4085922089346208,1.0311999999983246,0.0,0.4635484934915381
CRMS0311,33.0,0.3230560107564427,0.8940000000002212,0.0,0.4128545268249582
CRMS0312,34.0,0.1844999004321285,0.5559999999988912,0.0,0.3143052830382068
CRMS0315,17.5,0.289233816078164,0.8790000000000284,0.0,0.42590502004437547
CRMS0318,1.0,0.4991818412779096,1.2290000000013637,0.0,0.5299562140863595
CRMS0319,2.0,0.3342304362112862,0.9100000000024197,0.0,0.4298522091794421
CRMS0322,3.0,0.1868772191632794,0.5860000000002549,0.0,0.3007837235876702
CRMS0324,4.0,0.4898810511426849,1.2650000000020256,0.0,0.5462024876667316
CRMS0326,5.0,0.1614844846339237,0.5460000000009129,0.0,0.2904191183400951
CRMS0327,6.0,0.2010628293297786,0.5299999999993229,0.0,0.2443244445531409
CRMS0329,7.0,0.2936084961813912,0.8000000000016261,0.0,0.3732566540340558
CRMS0331,8.0,0.1644999436122086,0.4100000000007685,0.0,0.1825350963555128
CRMS0332,9.0,0.1087413411562611,0.411999999998705,0.0,0.2560291015502582
CRMS0335,10.0,0.4333259142632242,1.0599999999984735,0.0,0.45564102408388
CRMS0336,11.0,0.3104405214769478,0.89699999999818,0.0,0.4284752534094023
CRMS0337,12.0,0.2967668452385549,0.8800000000013557,0.0,0.4265595573965307
CRMS0338,13.0,0.469664959629479,1.1700000000003346,0.0,0.5198930576077345
CRMS0341,14.0,0.3722123733183786,1.035000000002598,0.0,0.4726003470113418
CRMS0345,15.0,0.3955848496745831,1.0559999999985836,0.0,0.4766319126846831
CRMS0347,16.0,0.3281097666315816,0.9299999999967252,0.0,0.4338789002013584
CRMS0354,17.0,0.212182153359308,0.6760000000015502,0.0,0.3264857688577048
CRMS0355,18.0,0.1754070601962803,0.6140000000010329,0.0,0.3284150714360841
CRMS0365,19.0,0.1901561434743817,0.4190000000009251,0.0,0.1760483314774588
CRMS0367,20.0,0.2438917802894519,0.6499999999976647,0.0,0.2965350342840974
CRMS0369,21.0,0.1724053012522539,0.5869999999996065,0.0,0.3175879080814366
CRMS0371,22.0,0.2820020073344969,0.7100000000000224,0.0,0.3083804676243272
CRMS0374,23.0,0.2670541353727126,0.8099999999985653,0.0,0.3893303038912964
CRMS0376,24.0,0.493240011344967,1.219000000001073,0.0,0.5123345314350496
CRMS0377,25.0,0.2026744470035416,0.6799999999984179,0.0,0.3461287288156928
CRMS0381,26.0,0.0327986686320164,0.0879999999998914,0.0,0.0953472612576085
CRMS0382,27.0,0.1245121389045317,0.2799999999996439,0.0,0.1551332549493901
CRMS0383,28.0,0.3581081512975624,0.970000000000987,0.0,0.4347166444496308
CRMS0385,29.0,0.1499061987031281,0.3529999999999205,0.0,0.1541707425107703
CRMS0386,30.0,0.2483535334142285,0.7100000000013256,0.0,0.3675796542297374
CRMS0387,31.0,0.1947100171969082,0.6499999999996763,0.0,0.3424650770196396
CRMS0390,32.0,0.2771294277724304,0.75,0.0,0.3423779275254148
CRMS0392,33.0,0.3957397788831109,0.940000000001556,0.0,0.4006439479104799
CRMS0394,0.0,0.2565663306271779,0.6659999999988748,0.0,0.2942833158386752
CRMS0395,1.0,0.2866430734404967,0.7050000000013278,0.0,0.3093008855503433
CRMS0396,2.0,0.147224962999511,0.4689999999993595,0.0,0.2406254069937285
CRMS0397,3.0,0.2932654219470482,0.8139999999987669,0.0,0.3883987951988749
CRMS0398,4.0,0.1292815096465272,0.4499999999988451,0.0,0.2485172131531096
CRMS0399,5.0,0.1243135136334388,0.4602000000009613,0.0,0.2565974037343571
CRMS0400,6.0,0.3393525541904478,0.8089999999977747,0.0,0.3582039796652509
CRMS0403,7.0,0.8505965076640879,1.9839999999972064,0.0,0.7868556453470842
CRMS0409,8.0,0.2470752211896995,0.6399999999995213,0.0,0.2837868831218466
CRMS0411,9.0,0.1806856615034921,0.5500000000004946,0.0,0.2592876640459705
CRMS0414,10.0,1.3400789488152431,2.1229999999984943,0.7369999999985559,0.5472740590925016
CRMS0416,11.0,0.2301793514179878,0.6530000000006047,0.0,0.3277381379380989
CRMS0421,12.0,0.4348710581693091,1.092999999996746,0.0,0.4717670744121396
CRMS0434,13.0,0.1443138144896153,0.4944000000014137,0.0,0.2910489897105386
CRMS0461,14.0,0.744712526514254,1.9260000000049504,0.0,0.8087101387532907
CRMS0463,15.0,0.1460082218624939,0.380000000000092,0.0,0.2587324918505064
CRMS0464,16.0,0.1633477815738966,0.3879999999996759,0.0,0.2061585519056421
CRMS0465,17.0,0.161675283997429,0.3800000000002698,0.0,0.2299690562976303
CRMS0479,18.0,0.5495912236119709,1.3699999999983956,0.0,0.5689776001460142
CRMS0482,19.0,0.5218716925746638,1.4480000000019468,0.0,0.6564547338042639
CRMS0488,20.0,0.3400046751583657,0.7920000000010539,0.0,0.3633862412165108
CRMS0489,21.0,0.121998279045027,0.4610000000010484,0.0,0.3078574715904073
CRMS0490,22.0,0.71065863515867,1.214000000004024,0.3110000000007731,0.402215858361727
CRMS0493,23.0,0.0689634266304584,0.25,0.0,0.2231445490697194
CRMS0494,24.0,0.2018611184261458,0.5409999999988201,0.0,0.3277975043814612
CRMS0496,25.0,0.1847879856000932,0.6380000000003376,0.0,0.3586914260399395
CRMS0498,26.0,0.3564018514387646,0.5999999999990662,0.0500000000000841,0.3926330372697639
