Simple site,Unnamed: 0,Flood Freq (Floods/yr)
CRMS0002,0.0,163.10482408415794
CRMS0003,1.0,243.95510129581692
CRMS0006,2.0,57.1710526315772
CRMS0008,3.0,69.70116618075814
CRMS0030,4.0,142.73707274319423
CRMS0033,5.0,35.130610098176845
CRMS0034,6.0,146.63978965818035
CRMS0035,7.0,200.917431192682
CRMS0038,8.0,70.94466019417654
CRMS0039,9.0,0.3994163778953126
CRMS0046,10.0,77.9147217235177
CRMS0047,11.0,86.79640185250793
CRMS0056,12.0,2.111352133044107
CRMS0058,13.0,90.0831202046031
CRMS0059,14.0,821.2499999999949
CRMS0061,15.0,88.35734870316993
CRMS0063,16.0,32.42567206694033
CRMS0065,17.0,480.6435643564378
CRMS0086,18.0,232.24887690923848
CRMS0089,19.0,486.6666666666685
CRMS0090,20.0,0.0650160313501959
CRMS0097,21.0,74.47235728435079
CRMS0103,22.0,103.91904075008416
CRMS0108,23.0,261.79680323356695
CRMS0114,24.0,2002.6973684210927
CRMS0115,25.0,519.0
CRMS0117,26.0,1247.6797385620723
CRMS0118,27.0,174.29955947136588
CRMS0119,28.0,179.537755822139
CRMS0120,29.0,287.0
CRMS0121,30.0,127.73537660255433
CRMS0125,31.0,39.4831730769234
CRMS0128,32.0,33.2068358884138
CRMS0129,33.0,250.69601270284244
CRMS0131,34.0,77.14427770746644
CRMS0132,35.0,106.1806183330352
CRMS0135,36.0,168.41473578928827
CRMS0136,37.0,154.16415157612758
CRMS0139,19.0,167.13714054582448
CRMS0146,1.0,149.4051708551887
CRMS0147,2.0,256.34602649004694
CRMS0148,3.0,143.66884262525951
CRMS0153,4.0,12.40689827543118
CRMS0154,5.0,167.17507577109515
CRMS0156,6.0,180.2236279401469
CRMS0157,7.0,44.14588528678363
CRMS0159,8.0,163.0138590669591
CRMS0161,9.0,72.94798717491898
CRMS0162,10.0,38.10318892900132
CRMS0163,11.0,261.9029385574136
CRMS0164,12.0,227.20197291424705
CRMS0171,13.0,272.30362803806435
CRMS0172,14.0,261.50307827621134
CRMS0173,15.0,260.69697975444694
CRMS0174,16.0,244.46398937940285
CRMS0175,17.0,212.79701022815144
CRMS0176,18.0,235.74178559579468
CRMS0178,19.0,239.67256637169365
CRMS0179,20.0,238.43672043906145
CRMS0181,21.0,249.5611257696104
CRMS0184,22.0,0.8295454545454548
CRMS0185,23.0,20.57837181044936
CRMS0188,24.0,219.61124401913503
CRMS0189,25.0,16.01108700891773
CRMS0190,26.0,783.7229437229403
CRMS0192,27.0,38.05544062887895
CRMS0194,28.0,13.072768618533354
CRMS0197,29.0,6.888092092847677
CRMS0200,30.0,1.7184557438794736
CRMS0206,31.0,450.7750000000037
CRMS0209,32.0,228.2924591257828
CRMS0211,33.0,19.258412962193606
CRMS0217,34.0,15.0160407624081
CRMS0218,35.0,16.820276497695843
CRMS0219,36.0,2.957461174881838
CRMS0220,37.0,155.2439024390277
CRMS0224,19.0,250.74941308099739
CRMS0225,1.0,152.7659186279723
CRMS0226,2.0,202.22890559734373
CRMS0232,3.0,202.87856196158864
CRMS0234,4.0,0.0
CRMS0237,5.0,231.4263087695891
CRMS0241,6.0,1.6409762363519582
CRMS0248,7.0,112.43131384289808
CRMS0251,8.0,179.26107148779244
CRMS0253,9.0,166.4636769816171
CRMS0258,10.0,177.1352569882768
CRMS0260,11.0,178.51984268857728
CRMS0261,12.0,122.90947516730662
CRMS0263,13.0,175.32489989077624
CRMS0268,14.0,210.30470914127267
CRMS0272,15.0,240.3963249864766
CRMS0273,16.0,15.608822867431831
CRMS0276,17.0,146.50260513583282
CRMS0278,18.0,32.637985056639856
CRMS0282,19.0,236.75860134632583
CRMS0287,20.0,264.0
CRMS0290,21.0,98.92307692307396
CRMS0292,22.0,281.4845961698117
CRMS0293,23.0,206.6485900216929
CRMS0294,24.0,25.3773377337736
CRMS0296,25.0,227.66101694915443
CRMS0301,26.0,69.93340163934505
CRMS0302,27.0,365.3651217073367
CRMS0303,28.0,322.59639459184126
CRMS0305,29.0,324.54913095848457
CRMS0307,30.0,300.1369016074861
CRMS0309,31.0,320.05256132154324
CRMS0310,32.0,248.35051546387191
CRMS0311,33.0,303.87652358240484
CRMS0312,34.0,64.1846628470675
CRMS0315,17.5,263.27018576349053
CRMS0318,1.0,249.730240549782
CRMS0319,2.0,229.0312387143185
CRMS0322,3.0,243.57509521446983
CRMS0324,4.0,26.877965458341595
CRMS0326,5.0,259.0478556052629
CRMS0327,6.0,42.18639352554364
CRMS0329,7.0,579.7471190780938
CRMS0331,8.0,730.0000000000119
CRMS0332,9.0,220.99420529799704
CRMS0335,10.0,4693.096330275311
CRMS0336,11.0,271.78967428964177
CRMS0337,12.0,279.7368864900923
CRMS0338,13.0,250.22975012572977
CRMS0341,14.0,267.0256318974916
CRMS0345,15.0,253.1572208945252
CRMS0347,16.0,297.41640326073707
CRMS0354,17.0,233.86589403971777
CRMS0355,18.0,5126.898148148608
CRMS0365,19.0,10.845286885245873
CRMS0367,20.0,77.97233409210372
CRMS0369,21.0,239.17620751344543
CRMS0371,22.0,35.09776857602931
CRMS0374,23.0,301.349933377746
CRMS0376,24.0,290.91914822829426
CRMS0377,25.0,340.4507542147068
CRMS0381,26.0,1.621501554864506
CRMS0382,27.0,24.808973789426588
CRMS0383,28.0,293.0221703617074
CRMS0385,29.0,589.0
CRMS0386,30.0,137.46582733812727
CRMS0387,31.0,156.62533692721647
CRMS0390,32.0,44.53613445378222
CRMS0392,33.0,43.47590687601585
CRMS0394,0.0,91.50323774282592
CRMS0395,1.0,63.22502312673202
CRMS0396,2.0,100.6517712433476
CRMS0397,3.0,206.47470887916333
CRMS0398,4.0,3932.394736842231
CRMS0399,5.0,208.69692281243093
CRMS0400,6.0,32.4709730171718
CRMS0403,7.0,492.4603174603136
CRMS0409,8.0,23.19835981547941
CRMS0411,9.0,66.46369751797634
CRMS0414,10.0,9.656084656084657
CRMS0416,11.0,47.93312543312718
CRMS0421,12.0,275.01250208366247
CRMS0434,13.0,200.28082528248277
CRMS0461,14.0,192.5137174211274
CRMS0463,15.0,786.0
CRMS0464,16.0,42.12962962963033
CRMS0465,17.0,46.33588761174894
CRMS0479,18.0,197.064594356258
CRMS0482,19.0,239.61435933891383
CRMS0488,20.0,15.343472317156577
CRMS0489,21.0,340.20662539726123
CRMS0490,22.0,433.0
CRMS0493,23.0,167.55199705503742
CRMS0494,24.0,88.62036238136047
CRMS0496,25.0,365.75243628187866
CRMS0498,26.0,16.128353498158976
CRMS0499,27.0,157.4320268361538
CRMS0501,28.0,186.24533582091468
CRMS0504,29.0,29.960282436010075
CRMS0507,30.0,201.22667910450252
CRMS0508,31.0,100.85167910447512
CRMS0511,32.0,81.0
CRMS0513,33.0,6.535307898259719
CRMS0514,34.0,136.47826086956437
CRMS0517,35.0,287.8734858681071
CRMS0520,36.0,158.86043646602153
CRMS0522,18.5,401.86249086924755
CRMS0523,1.0,249.5955882353205
CRMS0524,2.0,1242.0
CRMS0527,3.0,284.1918731778241
CRMS0529,4.0,103.4019370460051
CRMS0530,5.0,2056.0
CRMS0531,6.0,164.84957548911356
CRMS0532,7.0,199.9023574946905
CRMS0535,8.0,161.85951183154992
CRMS0536,9.0,53.0
CRMS0541,10.0,181.77373507674167
CRMS0542,11.0,506.0
CRMS0543,12.0,191.6447477942691
CRMS0544,13.0,318.0984455958445
CRMS0545,14.0,338.17637452366915
CRMS0547,15.0,228.2501371366033
CRMS0549,16.0,226.35234283804093
CRMS0550,17.0,291.56215921480623
CRMS0551,18.0,57.15017376989373
CRMS0552,19.0,290.7275229357839
CRMS0553,20.0,3.586594139322699
CRMS0554,21.0,87.9054174861464
CRMS0556,22.0,4.068896198830413
CRMS0557,23.0,5.537553849035389
CRMS0560,24.0,1.9113521600897696
CRMS0562,25.0,26.29317826766197
CRMS0565,26.0,1.901395348837211
CRMS0567,27.0,2.7987656629885915
CRMS0568,28.0,123.97130532633432
CRMS0570,29.0,0.0
CRMS0571,30.0,5.776391733382988
CRMS0572,31.0,11.883720930232624
CRMS0574,32.0,37.96520963425572
CRMS0575,33.0,39.0
CRMS0576,34.0,21.76355140186908
CRMS0580,35.0,35.33575825405784
CRMS0581,36.0,49.82810413885331
CRMS0583,37.0,8.816102470265307
CRMS0584,38.0,76.34688581314629
CRMS0587,39.0,7.651294203426905
CRMS0588,40.0,16.368851034243104
CRMS0589,20.5,51.40241228070175
CRMS0590,1.0,26.68343393695485
CRMS0593,2.0,19.45869723435225
CRMS0595,3.0,51.49832244393536
CRMS0599,4.0,162.40997942387048
CRMS0600,5.0,3977.0
CRMS0603,6.0,26.6657691617302
CRMS0604,7.0,25.80940416367519
CRMS0605,8.0,10.591112584977656
CRMS0608,9.0,416.0
CRMS0609,10.0,65.3672499459927
CRMS0610,11.0,92.0
CRMS0614,12.0,53.52461951656053
CRMS0615,13.0,15.177977378576069
CRMS0616,14.0,126.42629281396384
CRMS0618,15.0,144.74983210208202
CRMS0619,16.0,2.573283858998145
CRMS0622,17.0,96.0
CRMS0623,18.0,65.82754086041524
CRMS0624,19.0,7.386383124678424
CRMS0626,20.0,211.9053708439886
CRMS0630,21.0,223.8624567473697
CRMS0632,22.0,4.336633663366344
CRMS0633,23.0,102.55227882037792
CRMS0635,24.0,80.0
CRMS0638,25.0,558.0
CRMS0639,26.0,312.0
CRMS0641,27.0,34.85232421547175
CRMS0642,28.0,290.0
CRMS0644,29.0,396.0
CRMS0645,30.0,37.87297837543197
CRMS0647,31.0,128.0
CRMS0648,32.0,329.0
CRMS0650,33.0,172.0
CRMS0651,34.0,468.0
CRMS0655,35.0,32.888808794377915
CRMS0656,36.0,1955.0
CRMS0658,37.0,180.34650683649912
CRMS0660,38.0,35.63356736877219
CRMS0661,39.0,39.569469835465725
CRMS0662,40.0,47.650309046637474
CRMS0663,41.0,733.0
CRMS0665,42.0,21.8784581335302
CRMS0669,21.5,28.14927453646403
CRMS0672,1.0,587.0
CRMS0677,2.0,280.0
CRMS0680,3.0,17.131852382658444
CRMS0682,4.0,10.3427787934187
CRMS0683,5.0,52.22585779978945
CRMS0684,6.0,217.6074297188528
CRMS0685,7.0,204.92597466689065
CRMS0687,8.0,232.29680696659744
CRMS0691,9.0,23.0
CRMS0693,10.0,3.063392857142861
CRMS0694,11.0,25.34037162162153
CRMS0697,12.0,119.56049240238978
CRMS0978,13.0,200.79254079251223
CRMS1024,14.0,283.1436339771396
CRMS1069,15.0,258.3445884284999
CRMS1100,16.0,14.39627906976753
CRMS1130,17.0,32.82053688755458
CRMS1205,18.0,30.86200585651606
CRMS1277,19.0,2.5120907738095237
CRMS1409,20.0,10.725436179981624
CRMS1413,21.0,83.0
CRMS1446,22.0,105.26492287056334
CRMS1650,23.0,255.4112641815602
CRMS1738,24.0,34.50616148611324
CRMS1743,25.0,78.9572538860079
CRMS1838,26.0,33.0
CRMS1858,27.0,102.0
CRMS1965,28.0,63.73916907353832
CRMS2041,29.0,231.1107921928932
CRMS2154,30.0,35.758398712533214
CRMS2156,31.0,36.42814960629874
CRMS2166,32.0,761.0
CRMS2189,33.0,126.54450724124976
CRMS2219,34.0,12.032145782145845
CRMS2334,35.0,36.0193365560929
CRMS2418,36.0,26.244469026548344
CRMS2493,37.0,35.141760189013645
CRMS2568,38.0,269.51750488716493
CRMS2608,39.0,159.40632703368826
CRMS2614,40.0,217.12720470339715
CRMS2627,41.0,76.98528041736078
CRMS2634,21.0,130.1995070715564
CRMS2785,1.0,196.53846153846277
CRMS2825,2.0,56.709617180204766
CRMS2830,3.0,61.78788997600405
CRMS2854,4.0,63.12726613488012
CRMS2862,5.0,10.356595092024538
CRMS2881,6.0,82.23006734737766
CRMS2887,7.0,48.40182141270415
CRMS2939,8.0,709.8241206030265
CRMS2991,9.0,7.350890782339253
CRMS3054,10.0,110.23400365631456
CRMS3136,11.0,59.848456325300006
CRMS3166,12.0,35.99792369582138
CRMS3169,13.0,429.0
CRMS3296,14.0,3658.0
CRMS3565,15.0,2026.345108695721
CRMS3590,16.0,222.64777574650296
CRMS3601,17.0,154.0926347760023
CRMS3617,18.0,160.21495664740675
CRMS3626,19.0,142.51813565470326
CRMS3639,20.0,115.8109335270704
CRMS3641,21.0,167.1867054122965
CRMS3650,22.0,199.6445411679489
CRMS3664,23.0,162.08227388305468
CRMS3667,24.0,26.513157894736946
CRMS3680,25.0,202.5161290322669
CRMS3784,26.0,222.88440366970767
CRMS3800,27.0,45.77557755775648
CRMS3913,28.0,96.51280633867523
CRMS3985,29.0,100.32722513088464
CRMS4014,30.0,231.13404825734688
CRMS4016,31.0,245.07329281368408
CRMS4045,32.0,118.48493462194033
CRMS4094,33.0,176.27036462375696
CRMS4103,34.0,90.19881085098774
CRMS4107,35.0,16.15868099836043
CRMS4110,36.0,103.34861544104346
CRMS4218,37.0,143.3400809716695
CRMS4245,38.0,67.98647242455696
