Simple site,Distance_to_Water_m
CRMS0002,470.7554815064140
CRMS0003,0.0
CRMS0006,340.57330373948200
CRMS0008,8928.683986378860
CRMS0030,490.2671730069250
CRMS0033,302.204427376428
CRMS0034,1530.6841967560900
CRMS0035,9758.935015785540
CRMS0038,7844.777842474560
CRMS0039,6291.742410027080
CRMS0046,6009.111317939890
CRMS0047,3812.3463416447900
CRMS0056,1862.6376339394300
CRMS0059,4580.959302145480
CRMS0061,4458.993599467200
CRMS0063,7454.917811994600
CRMS0065,7488.200044817060
CRMS0086,13992.45119181960
CRMS0097,6977.387726446960
CRMS0103,3267.789487383800
CRMS0108,0.0
CRMS0114,5110.546022059090
CRMS0115,4229.717208496080
CRMS0117,4696.9123306180800
CRMS0118,870.3410261894880
CRMS0119,1252.947773653210
CRMS0120,4226.128883761460
CRMS0121,833.0439049098800
CRMS0125,1824.462929739820
CRMS0128,3518.0937393999300
CRMS0129,1072.697188734730
CRMS0131,3215.077413144810
CRMS0132,1109.4873383478500
CRMS0135,0.0
CRMS0136,2022.065457930320
CRMS0139,564.576065366549
CRMS0146,0.0
CRMS0147,809.1713463050190
CRMS0148,534.1822634854970
CRMS0153,1202.6127177717400
CRMS0154,978.735769366055
CRMS0156,3584.3882752224000
CRMS0157,911.1243010809500
CRMS0159,372.4258598856330
CRMS0161,1200.6593907503900
CRMS0162,902.6698009728420
CRMS0163,1078.7050873724100
CRMS0164,411.9637043887640
CRMS0171,0.0
CRMS0172,0.0
CRMS0173,189.63928376198800
CRMS0174,0.0
CRMS0175,345.13572517948500
CRMS0176,160.7206693532160
CRMS0178,0.0
CRMS0179,773.0451363532850
CRMS0181,0.0
CRMS0185,5462.443659014260
CRMS0190,3575.734737305490
CRMS0194,8368.4970817854
CRMS0197,13314.558196983900
CRMS0200,12790.908137701300
CRMS0206,6774.479520708890
CRMS0209,199.70822750880500
CRMS0217,7901.528744240870
CRMS0220,1064.1127914215700
CRMS0224,0.0
CRMS0225,129.91946424944000
CRMS0226,51.25257588676000
CRMS0232,229.39808034756000
CRMS0234,5251.5508917599100
CRMS0237,663.2698912830080
CRMS0248,570.6960785356500
CRMS0251,334.39635371974800
CRMS0253,495.2146873310260
CRMS0258,1637.1477249319600
CRMS0260,995.7534618927440
CRMS0261,613.4873840095890
CRMS0263,1354.3975382619900
CRMS0272,1398.8510097504400
CRMS0276,1330.3099476104700
CRMS0282,1542.9357677164600
CRMS0287,3216.2627624848300
CRMS0292,1647.429409749860
CRMS0293,1757.5144850356000
CRMS0302,0.0
CRMS0303,184.14729548860200
CRMS0305,685.7792042031540
CRMS0307,0.0
CRMS0309,657.3383556769970
CRMS0310,1467.1617876755500
CRMS0311,0.0
CRMS0312,3850.6088679138600
CRMS0315,204.4336512940780
CRMS0318,700.5717324167070
CRMS0319,963.6325981507000
CRMS0322,1351.6785000159300
CRMS0324,6220.548500795810
CRMS0326,824.2413367769490
CRMS0332,1346.409654782540
CRMS0335,290.336250325144
CRMS0336,1962.3675356654500
CRMS0337,0.0
CRMS0338,727.8538240384090
CRMS0341,0.0
CRMS0345,0.0
CRMS0347,0.0
CRMS0354,885.2227392746490
CRMS0355,0.0
CRMS0369,215.011961168204
CRMS0374,0.0
CRMS0376,0.0
CRMS0377,0.0
CRMS0383,0.0
CRMS0385,3171.101382051400
CRMS0386,870.1693576766050
CRMS0387,2124.9851643777400
CRMS0390,3159.5308299443200
CRMS0392,1892.0340686896400
CRMS0394,1635.907475952760
CRMS0395,2060.948630238190
CRMS0396,1261.7403251993500
CRMS0397,1854.905485899690
CRMS0398,1651.5786645356800
CRMS0399,353.0122151986430
CRMS0400,4124.47489857946
CRMS0403,1259.97882982116
CRMS0416,3894.533817966500
CRMS0421,0.0
CRMS0434,209.5741457698000
CRMS0461,5943.800428119290
CRMS0463,1636.5123529519700
CRMS0464,448.5461240684930
CRMS0465,1356.521726658800
CRMS0479,0.0
CRMS0482,7239.084236600800
CRMS0488,7578.25721217061
CRMS0489,0.0
CRMS0490,6538.512164433280
CRMS0493,62.61500912604280
CRMS0494,0.0
CRMS0496,0.0
CRMS0498,0.0
CRMS0499,0.0
CRMS0501,8999.557408335580
CRMS0504,0.0
CRMS0507,2616.7628576121500
CRMS0508,6945.899637060200
CRMS0511,5940.064047659770
CRMS0513,5324.147209686890
CRMS0514,2601.0303059308300
CRMS0517,426.8185155181400
CRMS0520,0.0
CRMS0522,0.0
CRMS0523,0.0
CRMS0524,0.0
CRMS0527,0.0
CRMS0529,0.0
CRMS0530,0.0
CRMS0531,3283.162405626530
CRMS0532,94.65272155953370
CRMS0535,3026.818314402050
CRMS0536,4206.145684884120
CRMS0541,0.0
CRMS0542,5777.021343487400
CRMS0543,148.22602704100000
CRMS0544,4767.518767272700
CRMS0545,1687.9617084698600
CRMS0547,10044.124683605100
CRMS0549,476.6134213637550
CRMS0550,2052.5722903503
CRMS0551,7450.866791103540
CRMS0552,3148.601789402280
CRMS0553,8725.206660890180
CRMS0554,0.0
CRMS0556,195.72787305122500
CRMS0557,1029.5939240777800
CRMS0560,4375.179359429850
CRMS0562,7273.5828462236200
CRMS0565,2427.863001370780
CRMS0567,12236.824389159900
CRMS0568,233.27360735028900
CRMS0570,2307.814524956240
CRMS0571,8837.394433802370
CRMS0572,10031.904563020700
CRMS0574,696.0432755522420
CRMS0575,1551.5298809126000
CRMS0576,2165.882431612650
CRMS0580,4484.016063180910
CRMS0581,1902.44443761085
CRMS0583,6239.097323906860
CRMS0584,5391.144632623190
CRMS0587,9303.475029337570
CRMS0588,6723.414780539670
CRMS0589,1172.6745190306700
CRMS0590,0.0
CRMS0593,1157.3671401090600
CRMS0595,402.7581763282520
CRMS0599,1535.4026799146000
CRMS0600,1177.0929631842000
CRMS0603,3473.6986670494800
CRMS0604,8044.225789255940
CRMS0605,3813.018914597050
CRMS0608,4974.098713696080
CRMS0609,4191.95377919553
CRMS0610,2293.103778161450
CRMS0614,5656.373906853570
CRMS0615,2739.028052060330
CRMS0616,5676.709330895870
CRMS0618,5624.994928827770
CRMS0619,7231.3767598866600
CRMS0622,6995.959733632780
CRMS0623,29.165589047913800
CRMS0624,3739.7472344346000
CRMS0626,3265.936986663970
CRMS0630,6530.293662488010
CRMS0632,2568.232367494040
CRMS0633,3094.801659527470
CRMS0635,3858.801705140840
CRMS0638,3913.2970172796800
CRMS0639,3846.1710405044100
CRMS0641,2587.773836020870
CRMS0642,3697.003281833450
CRMS0644,0.0
CRMS0645,3783.584904845290
CRMS0647,3483.428891411110
CRMS0648,3401.161057719890
CRMS0650,1317.4547345980900
CRMS0651,535.3568660264270
CRMS0655,1610.8415007273500
CRMS0656,1012.6653512062300
CRMS0658,670.0604346057330
CRMS0660,801.3688930991080
CRMS0661,4395.63035230923
CRMS0662,2697.259172427770
CRMS0663,2440.3709995162100
CRMS0665,1394.766925463330
CRMS0669,1560.536978704870
CRMS0672,990.7242381548230
CRMS0677,4564.655757772600
CRMS0680,50.404803524039100
CRMS0682,6501.542024228270
CRMS0683,1854.689961165600
CRMS0684,474.1137478572930
CRMS0685,294.809935308734
CRMS0687,427.7977784440720
CRMS0691,2242.838710256820
CRMS0693,2276.7452464681700
CRMS0694,1467.1542046214000
CRMS0697,3574.597395701830
CRMS0978,1299.3029193146300
CRMS1024,0.0
CRMS1069,0.0
CRMS1100,1286.7401739250600
CRMS1130,1339.1375310632
CRMS1205,2585.1041415419800
CRMS1277,3907.613573287320
CRMS1409,7117.571641503210
CRMS1413,4987.788700600320
CRMS1446,0.0
CRMS1650,3132.332794088540
CRMS1738,1053.3224145954400
CRMS1743,437.01678100922200
CRMS1838,3894.9849150494700
CRMS1858,5067.237476312210
CRMS1965,68.98392868970880
CRMS2041,596.4409170889650
CRMS2154,1620.5365006517600
CRMS2156,407.37490716332600
CRMS2166,3923.419768315280
CRMS2189,105.01513846211200
CRMS2219,718.4899974171430
CRMS2334,2800.085643738590
CRMS2418,0.0
CRMS2493,5742.9552001516
CRMS2568,5487.704824734240
CRMS2608,1209.9677785759800
CRMS2614,501.36841304843400
CRMS2627,2817.3884937842100
CRMS2634,1872.523974880240
CRMS2825,3154.4509811455600
CRMS2830,199.19486425665800
CRMS2854,845.6921331772350
CRMS3054,519.2107708625510
CRMS3136,205.268595112994
CRMS3166,2773.3547685787600
CRMS3169,3383.2381111244700
CRMS3296,0.0
CRMS3565,0.0
CRMS3590,952.5032832462770
CRMS3601,538.8468866871670
CRMS3617,0.0
CRMS3626,824.9779477676480
CRMS3639,3114.024426673650
CRMS3641,2484.1600268556900
CRMS3650,1295.121323426660
CRMS3664,1174.7893466642700
CRMS3667,719.456808468518
CRMS3680,2241.15109601043
CRMS3784,206.6789957698060
CRMS3800,924.9372193452320
CRMS3913,1707.995774746410
CRMS3985,2566.230603982810
CRMS4014,3609.6305745785400
CRMS4016,3931.2172011982300
CRMS4045,3540.6571057084800
CRMS4094,875.2958873278420
CRMS4103,2562.033863735840
CRMS4107,2141.4510460394400
CRMS4110,2763.248868005450
CRMS4218,0.0
CRMS4245,716.3269475155810
CRMS4355,3000.601457681310
CRMS4406,2366.9270684428900
CRMS4407,4164.761816211620
CRMS4448,2667.3771132910600
CRMS4455,0.0
CRMS4529,51.44937527504160
CRMS4548,0.0
CRMS4551,501.43418791130400
CRMS4557,1198.3393802128300
CRMS4572,1180.0985575896100
CRMS4596,0.0
CRMS4626,0.0
CRMS4690,0.0
CRMS4779,4497.634410734700
CRMS4782,4532.571776087480
CRMS4808,1828.3778794334600
CRMS4809,1718.7757842149800
CRMS4900,834.0857624378390
CRMS4938,5563.878800762590
CRMS5035,3936.625990177730
CRMS5116,7372.547963222680
CRMS5167,11180.440790479200
CRMS5255,573.6522307272940
CRMS5267,3248.547753172090
CRMS5373,4998.992036565060
CRMS5414,4628.6162162674700
CRMS5452,4312.686960653060
CRMS5770,17159.233509517200
CRMS5845,8556.525450399470
CRMS6038,5631.96216978248
CRMS6042,3708.140750185730
CRMS6088,14685.797385685700
CRMS6090,15901.593047608500
CRMS6209,1249.660127849140
CRMS6299,105.74687959690200
CRMS6301,386.6664653470220
CRMS6302,339.30674705190500
CRMS6303,593.2628319786510
CRMS6304,684.7610940937180
CRMS0058,
CRMS0089,
CRMS0090,
CRMS0184,
CRMS0188,
CRMS0189,
CRMS0192,
CRMS0211,
CRMS0218,
CRMS0219,
CRMS0241,
CRMS0268,
CRMS0273,
CRMS0278,
CRMS0290,
CRMS0294,
CRMS0296,
CRMS0301,
CRMS0327,
CRMS0329,
CRMS0331,
CRMS0365,
CRMS0367,
CRMS0371,
CRMS0381,
CRMS0382,
CRMS0409,
CRMS0411,
CRMS0414,
CRMS0484,
CRMS0528,
CRMS2785,
CRMS2862,
CRMS2881,
CRMS2887,
CRMS2939,
CRMS2991,
CRMS5003,
CRMS5536,
CRMS5672,
CRMS5992,
CRMS6008,
CRMS0151,
CRMS0510,
CRMS0518,
CRMS0525,
CRMS0539,
CRMS1770,
CRMS5858,
LA39-Y2D,